,Model,Dataset,Missing Rate (%),Métrica,Teste
136,mean,hcv_egyptian,60,MAE,0.31138646197514713
137,mean,hcv_egyptian,60,MAE,0.314566423088187
138,mean,hcv_egyptian,60,MAE,0.3155446224913824
139,mean,hcv_egyptian,60,MAE,0.3151088746351509
140,mean,thoracic_surgey,10,MAE,0.1685164290717793
141,mean,thoracic_surgey,10,MAE,0.14319376307490234
142,mean,thoracic_surgey,10,MAE,0.130592588940996
143,mean,thoracic_surgey,10,MAE,0.132111347619596
144,mean,thoracic_surgey,10,MAE,0.1439301483283779
145,mean,thoracic_surgey,20,MAE,0.14959257988372815
146,mean,thoracic_surgey,20,MAE,0.14986141954713086
147,mean,thoracic_surgey,20,MAE,0.14214300409656164
148,mean,thoracic_surgey,20,MAE,0.14033826299564478
149,mean,thoracic_surgey,20,MAE,0.15448551816503245
150,mean,thoracic_surgey,40,MAE,0.16397363082104846
151,mean,thoracic_surgey,40,MAE,0.14029861642123118
152,mean,thoracic_surgey,40,MAE,0.14813164499444723
153,mean,thoracic_surgey,40,MAE,0.14203314196144506
154,mean,thoracic_surgey,40,MAE,0.15965630949022977
155,mean,thoracic_surgey,60,MAE,0.15134783734809512
156,mean,thoracic_surgey,60,MAE,0.1421904043192757
157,mean,thoracic_surgey,60,MAE,0.13380785616595237
158,mean,thoracic_surgey,60,MAE,0.15687960518343994
159,mean,thoracic_surgey,60,MAE,0.1526143742581651
160,knn,wiscosin,10,MAE,0.13130279326119515
161,knn,wiscosin,10,MAE,0.10102123452120863
162,knn,wiscosin,10,MAE,0.0825706693417085
163,knn,wiscosin,10,MAE,0.07567677137689814
164,knn,wiscosin,10,MAE,0.10000106009829923
165,knn,wiscosin,20,MAE,0.10178263614673616
166,knn,wiscosin,20,MAE,0.07087659480633599
167,knn,wiscosin,20,MAE,0.07593343910699984
168,knn,wiscosin,20,MAE,0.06992738318099363
169,knn,wiscosin,20,MAE,0.07105752548840126
170,knn,wiscosin,40,MAE,0.10384006846733039
171,knn,wiscosin,40,MAE,0.07629890692425638
172,knn,wiscosin,40,MAE,0.08731210001336677
173,knn,wiscosin,40,MAE,0.06873006759530823
174,knn,wiscosin,40,MAE,0.08211075908308471
175,knn,wiscosin,60,MAE,0.09825023282022748
176,knn,wiscosin,60,MAE,0.08477850079711163
177,knn,wiscosin,60,MAE,0.08580346969768765
178,knn,wiscosin,60,MAE,0.08134687198117722
179,knn,wiscosin,60,MAE,0.09678939323081551
180,knn,pima_diabetes,10,MAE,0.12734759116645666
181,knn,pima_diabetes,10,MAE,0.14105432093464654
182,knn,pima_diabetes,10,MAE,0.12345533966894116
183,knn,pima_diabetes,10,MAE,0.1221193474932468
184,knn,pima_diabetes,10,MAE,0.12758243253948381
185,knn,pima_diabetes,20,MAE,0.13221843477812986
186,knn,pima_diabetes,20,MAE,0.12523590017023095
187,knn,pima_diabetes,20,MAE,0.12595949287494562
188,knn,pima_diabetes,20,MAE,0.1286251829334371
189,knn,pima_diabetes,20,MAE,0.1238407081396346
190,knn,pima_diabetes,40,MAE,0.11867093008049279
191,knn,pima_diabetes,40,MAE,0.1303142926726048
192,knn,pima_diabetes,40,MAE,0.13919948015667277
193,knn,pima_diabetes,40,MAE,0.14278916228704355
194,knn,pima_diabetes,40,MAE,0.12698590379454616
195,knn,pima_diabetes,60,MAE,0.12542834559437838
196,knn,pima_diabetes,60,MAE,0.12663691789407663
197,knn,pima_diabetes,60,MAE,0.12427862622514697
198,knn,pima_diabetes,60,MAE,0.14200207175134621
199,knn,pima_diabetes,60,MAE,0.12614488525009152
200,knn,bc_coimbra,10,MAE,0.13796062514799579
201,knn,bc_coimbra,10,MAE,0.15342164482493287
202,knn,bc_coimbra,10,MAE,0.19286240718924733
203,knn,bc_coimbra,10,MAE,0.12969156121499675
204,knn,bc_coimbra,10,MAE,0.19465774927893156
205,knn,bc_coimbra,20,MAE,0.1892133583558958
206,knn,bc_coimbra,20,MAE,0.15096938986335934
207,knn,bc_coimbra,20,MAE,0.266087387429183
208,knn,bc_coimbra,20,MAE,0.13739229757381155
209,knn,bc_coimbra,20,MAE,0.17120617187528275
210,knn,bc_coimbra,40,MAE,0.1569221028712374
211,knn,bc_coimbra,40,MAE,0.14725617734679255
212,knn,bc_coimbra,40,MAE,0.22313959847895137
213,knn,bc_coimbra,40,MAE,0.1374811002881998
214,knn,bc_coimbra,40,MAE,0.15395090994897634
215,knn,bc_coimbra,60,MAE,0.15762214360722104
216,knn,bc_coimbra,60,MAE,0.19370382823344195
217,knn,bc_coimbra,60,MAE,0.29076242922206214
218,knn,bc_coimbra,60,MAE,0.15535511328940363
219,knn,bc_coimbra,60,MAE,0.14132213563810858
220,knn,indian_liver,10,MAE,0.0892759381534241
221,knn,indian_liver,10,MAE,0.13132463594987448
222,knn,indian_liver,10,MAE,0.12553878313725725
223,knn,indian_liver,10,MAE,0.10993962062583093
224,knn,indian_liver,10,MAE,0.11113988944821848
225,knn,indian_liver,20,MAE,0.11202948379813497
226,knn,indian_liver,20,MAE,0.09787520144626012
227,knn,indian_liver,20,MAE,0.16702628173636175
228,knn,indian_liver,20,MAE,0.11133177767085947
229,knn,indian_liver,20,MAE,0.1358774389042413
230,knn,indian_liver,40,MAE,0.12379016090922781
231,knn,indian_liver,40,MAE,0.10834143413734121
232,knn,indian_liver,40,MAE,0.10645586946543255
233,knn,indian_liver,40,MAE,0.11879294644507912
234,knn,indian_liver,40,MAE,0.13021320559080754
235,knn,indian_liver,60,MAE,0.10579064491856997
236,knn,indian_liver,60,MAE,0.12446452751494833
237,knn,indian_liver,60,MAE,0.11997658035134809
238,knn,indian_liver,60,MAE,0.11287271953029891
239,knn,indian_liver,60,MAE,0.12654927790422235
240,knn,parkinsons,10,MAE,0.08669445936186784
241,knn,parkinsons,10,MAE,0.05698449770040509
242,knn,parkinsons,10,MAE,0.1430116626184111
243,knn,parkinsons,10,MAE,0.08865996344900938
244,knn,parkinsons,10,MAE,0.13965678938781614
245,knn,parkinsons,20,MAE,0.08273647918054457
246,knn,parkinsons,20,MAE,0.0893620567800983
247,knn,parkinsons,20,MAE,0.09587897229860066
248,knn,parkinsons,20,MAE,0.10602065257092887
249,knn,parkinsons,20,MAE,0.173699631105486
250,knn,parkinsons,40,MAE,0.0940512008968764
251,knn,parkinsons,40,MAE,0.09937118832316415
252,knn,parkinsons,40,MAE,0.17316342585638747
253,knn,parkinsons,40,MAE,0.11032719396380243
254,knn,parkinsons,40,MAE,0.12889309271484786
255,knn,parkinsons,60,MAE,0.10681963755095249
256,knn,parkinsons,60,MAE,0.09527155516161132
257,knn,parkinsons,60,MAE,0.13169518073319864
258,knn,parkinsons,60,MAE,0.109413955149026
259,knn,parkinsons,60,MAE,0.15571732903259225
260,knn,mammographic_masses,10,MAE,0.2546187033548388
261,knn,mammographic_masses,10,MAE,0.2019872168529738
262,knn,mammographic_masses,10,MAE,0.24731952106733035
263,knn,mammographic_masses,10,MAE,0.23925056871430908
264,knn,mammographic_masses,10,MAE,0.22949605239518628
265,knn,mammographic_masses,20,MAE,0.26168765890565865
266,knn,mammographic_masses,20,MAE,0.2445235074308255
267,knn,mammographic_masses,20,MAE,0.21548894850432776
268,knn,mammographic_masses,20,MAE,0.2427412963882594
269,knn,mammographic_masses,20,MAE,0.21235150933900543
270,knn,mammographic_masses,40,MAE,0.22235325309787007
271,knn,mammographic_masses,40,MAE,0.23912232595539262
272,knn,mammographic_masses,40,MAE,0.24279961348683735
273,knn,mammographic_masses,40,MAE,0.2569617717527015
274,knn,mammographic_masses,40,MAE,0.23864112145868702
275,knn,mammographic_masses,60,MAE,0.2691348849455528
276,knn,mammographic_masses,60,MAE,0.23548741849879382
277,knn,mammographic_masses,60,MAE,0.2413553843422892
278,knn,mammographic_masses,60,MAE,0.2790851246747089
279,knn,mammographic_masses,60,MAE,0.24569770279802947
280,knn,hcv_egyptian,10,MAE,0.3483350971527029
281,knn,hcv_egyptian,10,MAE,0.3279354863737751
282,knn,hcv_egyptian,10,MAE,0.3312173843835353
283,knn,hcv_egyptian,10,MAE,0.3112293530997982
284,knn,hcv_egyptian,10,MAE,0.3300841665535168
285,knn,hcv_egyptian,20,MAE,0.3255768127864442
286,knn,hcv_egyptian,20,MAE,0.31485638498142665
287,knn,hcv_egyptian,20,MAE,0.32453844003536775
288,knn,hcv_egyptian,20,MAE,0.3195326367323257
289,knn,hcv_egyptian,20,MAE,0.3270557137001811
290,knn,hcv_egyptian,40,MAE,0.3344824970575043
291,knn,hcv_egyptian,40,MAE,0.32610894119993933
292,knn,hcv_egyptian,40,MAE,0.3185920777908473
293,knn,hcv_egyptian,40,MAE,0.32284221684881576
294,knn,hcv_egyptian,40,MAE,0.32493066712213814
295,knn,hcv_egyptian,60,MAE,0.3300164465997374
296,knn,hcv_egyptian,60,MAE,0.3246116407297977
297,knn,hcv_egyptian,60,MAE,0.32369489770266996
298,knn,hcv_egyptian,60,MAE,0.3236423202732178
299,knn,hcv_egyptian,60,MAE,0.32319284080445015
300,knn,thoracic_surgey,10,MAE,0.15651803145774004
301,knn,thoracic_surgey,10,MAE,0.1299259952998066
302,knn,thoracic_surgey,10,MAE,0.12506820352174075
303,knn,thoracic_surgey,10,MAE,0.15413404658978727
304,knn,thoracic_surgey,10,MAE,0.1751845238104471
305,knn,thoracic_surgey,20,MAE,0.14313443714115476
306,knn,thoracic_surgey,20,MAE,0.12283466619503887
307,knn,thoracic_surgey,20,MAE,0.13700038952499985
308,knn,thoracic_surgey,20,MAE,0.14225619858484814
309,knn,thoracic_surgey,20,MAE,0.1634735983447275
310,knn,thoracic_surgey,40,MAE,0.13908377141494468
311,knn,thoracic_surgey,40,MAE,0.13262036983340858
312,knn,thoracic_surgey,40,MAE,0.14179681631626934
313,knn,thoracic_surgey,40,MAE,0.14558183306563408
314,knn,thoracic_surgey,40,MAE,0.13656147317180897
315,knn,thoracic_surgey,60,MAE,0.15939912396815928
316,knn,thoracic_surgey,60,MAE,0.13795357014113055
317,knn,thoracic_surgey,60,MAE,0.1390636895083825
318,knn,thoracic_surgey,60,MAE,0.1480758288223289
319,knn,thoracic_surgey,60,MAE,0.1526750168561423
